session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
bp232n02-mm,spikeUnit03,noddm_cancel,left,right,92,78,0.53,2,41,0.805442764172161,NaN,NaN,2.43873386265321,-11.9618841218139
bp232n02-mm,spikeUnit09,noddm_cancel,left,right,235,78,0.53,2,13,0.768863237575712,50,-12,-0.446501519130907,-2.28945102537047
bp232n02-mm,spikeUnit09,noddm_cancel,left,right,92,78,0.58,1,20,0.117319644434275,63,-19,1.5981113817202,1.15300346181264
bp232n02-mm,spikeUnit09,noddm_cancel,left,right,235,78,0.58,1,28,0.263631032903718,48,NaN,-0.0137660151695656,-2.25986553371596
bp232n02-mm,spikeUnit09,noddm_cancel,left,right,380,78,0.53,2,38,0.78077862439908,36,-43,-0.431027255859251,-1.56354982119008
bp232n02-mm,spikeUnit09,noddm_cancel,left,right,92,78,0.53,2,41,0.433447504802328,29,4,1.20880626535186,-2.55755296967481
bp234n02,spikeUnit03,noddm_cancel,left,right,232,118,0.53,2,15,0.0189059385733571,-59,-65,-0.264866810779018,-12.2237829870853
bp234n02,spikeUnit03,noddm_cancel,left,right,87,118,0.58,1,16,0.297748845305677,NaN,29,0.0639328215142332,-10.6575064146343
bp234n02,spikeUnit03,noddm_cancel,left,right,232,118,0.58,1,41,0.0146286609801303,-4,NaN,-0.496307109812473,0.0500561410141253
bp234n02,spikeUnit03,noddm_cancel,left,right,87,118,0.53,2,45,0.525868861777327,NaN,NaN,0.182591239836054,-14.6489020538964
bp234n02,spikeUnit20,noddm_cancel,left,left,377,118,0.42,1,13,0.551268759671697,117,NaN,0.0468914285698943,-4.7632586458192
bp234n02,spikeUnit20,noddm_cancel,left,left,377,118,0.47,2,18,0.479176225564601,41,-72,0.226393703527892,-8.15915096978886
bp234n02,spikeUnit20,noddm_cancel,left,left,232,118,0.47,2,19,0.167188608236149,-39,NaN,-0.102841062768525,-10.333722966323
bp234n02,spikeUnit20,noddm_cancel,left,left,523,118,0.42,1,28,0.261927121584245,6,-47,-0.0905202666431387,-5.88948494876228
bp234n02,spikeUnit20,noddm_cancel,left,left,523,118,0.47,2,33,0.0637862546314679,-11,-47,-0.849879652457911,-6.09152569069809
bp234n02,spikeUnit27,noddm_cancel,left,right,232,118,0.53,2,15,0.179725974126406,6,-80,-0.19436440607686,1.6592106553784
bp234n02,spikeUnit27,noddm_cancel,left,right,87,118,0.58,1,16,0.307436810740519,29,-30,0.421583610304953,-0.793049464295959
bp234n02,spikeUnit27,noddm_cancel,left,right,232,118,0.58,1,41,0.616893433066646,24,20,-0.834748137359296,0.00101056436977531
bp234n02,spikeUnit27,noddm_cancel,left,right,87,118,0.53,2,45,0.498562019291644,NaN,-108,0.978580496171936,-1.56587418528986
bp237n02,spikeUnit15,noddm_cancel,left,right,378,57,0.53,2,11,0.124784322240693,NaN,NaN,-0.472091888335317,-7.69766543218554
bp237n02,spikeUnit15,noddm_cancel,left,right,233,57,0.58,1,15,0.242331477474872,92,NaN,-0.666505777427021,-2.66386614242136
bp237n02,spikeUnit15,noddm_cancel,left,right,233,57,0.53,2,24,0.387868179531644,NaN,NaN,0.186691560877279,-5.23397999207123
bp237n02,spikeUnit15,noddm_cancel,left,right,87,57,0.58,1,29,0.0511861269993489,NaN,NaN,0.636939803550656,-5.91874128856032
bp237n02,spikeUnit15,noddm_cancel,left,right,378,57,0.58,1,35,0.0384338217342647,-57,-45,-0.980311629851065,1.50130965144214
